dataset,model,budget,strategy,display_strategy,seeds,mean_unsafe_and_functional_at_q,ci95_unsafe_and_functional_at_q,mean_q_at_success,mean_queries,mean_queries_per_task,complete_seed_count,min_completed_tasks,max_completed_tasks
llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,4,aot_ensemble_fixed_pool_comment,AOT-style Ensemble,"7,19,31,43,59",0.508,0.009601999791710053,2.1044331884331884,455.6,3.0373333333333337,5,150,150
llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,4,classical_boundary_witness_comment,Classical Boundary Witness,"7,19,31,43,59",0.7133333333333333,0.010932357680045244,2.0019279221924258,386.2,2.5746666666666664,5,150,150
llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,4,fair_random_comment,Random Search,"7,19,31,43,59",0.492,0.04119628030673537,1.99048987281011,452.8,3.018666666666667,5,150,150
llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,4,fair_risk_prior_comment,Risk Prior,"7,19,31,43,59",0.4573333333333333,0.0032006665972367063,2.008610400682012,463.4,3.0893333333333333,5,150,150
llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,4,insec_fixed_pool_comment,INSEC-style Fixed-Pool Search,"7,19,31,43,59",0.46266666666666667,0.006662718831094574,2.0980243953061937,468.0,3.12,5,150,150
llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,4,qscout_qbw_comment,QScout-QBW,"7,19,31,43,59",0.9,0.0,1.4814814814814814,260.0,1.7333333333333336,5,150,150
llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,8,aot_ensemble_fixed_pool_comment,AOT-style Ensemble,"7,19,31,43,59",0.604,0.0032006665972367063,2.7326984126984124,722.8,4.818666666666667,5,150,150
llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,8,classical_boundary_witness_comment,Classical Boundary Witness,"7,19,31,43,59",0.8320000000000001,0.015679999999999996,2.634547706498796,530.4,3.536,5,150,150
llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,8,fair_random_comment,Random Search,"7,19,31,43,59",0.6786666666666668,0.013951382249320896,3.017802596413676,692.4,4.616,5,150,150
llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,8,fair_risk_prior_comment,Risk Prior,"7,19,31,43,59",0.588,0.006401333194473413,2.9947823840888548,758.6,5.057333333333334,5,150,150
llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,8,insec_fixed_pool_comment,INSEC-style Fixed-Pool Search,"7,19,31,43,59",0.6186666666666667,0.00261333333333335,3.170196353436185,751.8,5.012,5,150,150
llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,8,qscout_qbw_comment,QScout-QBW,"7,19,31,43,59",0.9493333333333334,0.0032006665972367063,1.7218556091795527,306.0,2.04,5,150,150
llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,16,aot_ensemble_fixed_pool_comment,AOT-style Ensemble,"7,19,31,43,59",0.7253333333333333,0.004889098985384613,4.238003892132332,1120.4,7.469333333333333,5,150,150
llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,16,classical_boundary_witness_comment,Classical Boundary Witness,"7,19,31,43,59",0.9706666666666667,0.0032006665972367063,3.349995276334435,558.2,3.721333333333333,5,150,150
llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,16,fair_random_comment,Random Search,"7,19,31,43,59",0.836,0.022097738446376004,5.1356118214602215,1037.4,6.9159999999999995,5,150,150
llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,16,fair_risk_prior_comment,Risk Prior,"7,19,31,43,59",0.6506666666666666,0.0032006665972367063,3.667788764990532,1196.4,7.976000000000001,5,150,150
llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,16,insec_fixed_pool_comment,INSEC-style Fixed-Pool Search,"7,19,31,43,59",0.6866666666666666,0.0,4.12621359223301,1177.0,7.846666666666667,5,150,150
llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,16,qscout_qbw_comment,QScout-QBW,"7,19,31,43,59",0.9800000000000001,0.0,2.017687074829932,344.6,2.2973333333333334,5,150,150
llmseceval,Qwen/Qwen2.5-Coder-1.5B-Instruct,4,aot_ensemble_fixed_pool_comment,AOT-style Ensemble,"7,19,31,43,59",0.5533333333333333,0.004132042809286709,1.82159019352672,419.2,2.7946666666666666,5,150,150
llmseceval,Qwen/Qwen2.5-Coder-1.5B-Instruct,4,classical_active_comment,Classical Active,"7,19,31,43,59",0.604,0.006662718831094551,1.7060725633808194,392.2,2.6146666666666665,5,150,150
llmseceval,Qwen/Qwen2.5-Coder-1.5B-Instruct,4,classical_boundary_witness_comment,Classical Boundary Witness,"7,19,31,43,59",0.792,0.009601999791710062,1.717082110664545,328.8,2.192,5,150,150
llmseceval,Qwen/Qwen2.5-Coder-1.5B-Instruct,4,fair_random_comment,Random Search,"7,19,31,43,59",0.5893333333333333,0.024305404977311353,1.7856571740355889,404.4,2.696,5,150,150
llmseceval,Qwen/Qwen2.5-Coder-1.5B-Instruct,4,fair_risk_prior_comment,Risk Prior,"7,19,31,43,59",0.5533333333333333,0.0,1.6819277108433734,407.6,2.7173333333333334,5,150,150
llmseceval,Qwen/Qwen2.5-Coder-1.5B-Instruct,4,insec_fixed_pool_comment,INSEC-style Fixed-Pool Search,"7,19,31,43,59",0.504,0.0032006665972367063,1.6929824561403506,425.6,2.8373333333333335,5,150,150
