dataset,model,budget,strategy,display_strategy,seeds,mean_unsafe_and_functional_at_q,ci95_unsafe_and_functional_at_q,mean_q_at_success,mean_queries,mean_queries_per_task,complete_seed_count,min_completed_tasks,max_completed_tasks
securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,4,classical_boundary_witness_comment,Classical Boundary Witness,"7,19,31,43,59",0.7239669421487603,0.003967768508971084,1.543312434691745,268.8,2.221487603305785,5,121,121
securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,4,qbw_strict_born_entropy_only_comment,qbw_strict_born_entropy_only_comment,"7,19,31,43,59",0.6743801652892562,0.006479338842975184,1.4164634146341464,273.2,2.2578512396694217,5,121,121
securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,4,qbw_strict_full_comment,qbw_strict_full_comment,"7,19,31,43,59",0.687603305785124,0.003239669421487592,1.4398164084911074,271.0,2.2396694214876036,5,121,121
securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,4,qbw_strict_no_density_matrix_comment,qbw_strict_no_density_matrix_comment,"7,19,31,43,59",0.6892561983471075,0.003967768508971084,1.4604130808950084,272.2,2.249586776859504,5,121,121
securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,4,qbw_strict_no_fidelity_margin_comment,qbw_strict_no_fidelity_margin_comment,"7,19,31,43,59",0.6958677685950414,0.003239669421487592,1.527282913165266,275.8,2.2793388429752066,5,121,121
securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,4,qbw_strict_no_reliability_penalty_comment,qbw_strict_no_reliability_penalty_comment,"7,19,31,43,59",0.687603305785124,0.003239669421487592,1.4494836488812393,271.8,2.2462809917355373,5,121,121
securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,4,qbw_strict_random_quantum_score_comment,qbw_strict_random_quantum_score_comment,"7,19,31,43,59",0.6694214876033058,0.01536710135685128,1.4385484883581003,276.6,2.2859504132231407,5,121,121
securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,8,classical_boundary_witness_comment,Classical Boundary Witness,"7,19,31,43,59",0.8330578512396695,0.011903305526913297,2.2727740601190973,390.8,3.229752066115702,5,121,121
securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,8,qbw_strict_born_entropy_only_comment,qbw_strict_born_entropy_only_comment,"7,19,31,43,59",0.7421487603305785,0.01190330552691329,1.880348616900341,418.6,3.4595041322314044,5,121,121
securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,8,qbw_strict_full_comment,qbw_strict_full_comment,"7,19,31,43,59",0.7206611570247935,0.003239669421487592,1.6557993730407525,414.8,3.4280991735537194,5,121,121
securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,8,qbw_strict_no_density_matrix_comment,qbw_strict_no_density_matrix_comment,"7,19,31,43,59",0.7272727272727273,0.0,1.684090909090909,412.2,3.4066115702479336,5,121,121
securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,8,qbw_strict_no_fidelity_margin_comment,qbw_strict_no_fidelity_margin_comment,"7,19,31,43,59",0.737190082644628,0.0060608665108073554,1.809100556123028,415.8,3.436363636363636,5,121,121
securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,8,qbw_strict_no_reliability_penalty_comment,qbw_strict_no_reliability_penalty_comment,"7,19,31,43,59",0.7239669421487603,0.003967768508971084,1.6938349007314524,415.6,3.434710743801653,5,121,121
securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,8,qbw_strict_random_quantum_score_comment,qbw_strict_random_quantum_score_comment,"7,19,31,43,59",0.7206611570247935,0.003239669421487592,1.8625130616509928,432.8,3.5768595041322313,5,121,121
securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,16,classical_boundary_witness_comment,Classical Boundary Witness,"7,19,31,43,59",0.971900826446281,0.01212173302161475,3.334954985338617,446.8,3.6925619834710743,5,121,121
securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,16,qbw_strict_born_entropy_only_comment,qbw_strict_born_entropy_only_comment,"7,19,31,43,59",0.7768595041322314,0.0,2.2787234042553193,646.2,5.340495867768595,5,121,121
securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,16,qbw_strict_full_comment,qbw_strict_full_comment,"7,19,31,43,59",0.7768595041322314,0.00512236711895045,2.416427651145709,659.2,5.447933884297521,5,121,121
securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,16,qbw_strict_no_density_matrix_comment,qbw_strict_no_density_matrix_comment,"7,19,31,43,59",0.7735537190082644,0.003967768508971084,2.3372912377030426,657.2,5.431404958677686,5,121,121
securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,16,qbw_strict_no_fidelity_margin_comment,qbw_strict_no_fidelity_margin_comment,"7,19,31,43,59",0.7603305785123967,0.0,2.0804347826086955,655.4,5.416528925619835,5,121,121
securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,16,qbw_strict_no_reliability_penalty_comment,qbw_strict_no_reliability_penalty_comment,"7,19,31,43,59",0.7752066115702478,0.003239669421487592,2.3514985129261037,655.8,5.419834710743801,5,121,121
securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,16,qbw_strict_random_quantum_score_comment,qbw_strict_random_quantum_score_comment,"7,19,31,43,59",0.7487603305785123,0.006479338842975233,2.3013154960981046,695.0,5.743801652892562,5,121,121
