source_root,dataset,model,seed,budget,strategy,completed_tasks,total_tasks,is_complete,queries,queries_per_task,unsafe_and_functional_at_q,q_at_success,raw_asr,functional_rate
outputs\ccfa_protocol_cyberseceval_qwen05_120_5seed_strong_v2_20260708,cyberseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,7,4,aot_ensemble_fixed_pool_comment,120,120,1,461.0,3.841666666666667,0.10833333333333334,2.5384615384615383,0.11666666666666667,0.7333333333333333
outputs\ccfa_protocol_cyberseceval_qwen05_120_5seed_strong_v2_20260708,cyberseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,19,4,aot_ensemble_fixed_pool_comment,120,120,1,457.0,3.808333333333333,0.10833333333333334,2.230769230769231,0.11666666666666667,0.7333333333333333
outputs\ccfa_protocol_cyberseceval_qwen05_120_5seed_strong_v2_20260708,cyberseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,31,4,aot_ensemble_fixed_pool_comment,120,120,1,459.0,3.825,0.1,2.25,0.11666666666666667,0.7166666666666667
outputs\ccfa_protocol_cyberseceval_qwen05_120_5seed_strong_v2_20260708,cyberseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,43,4,aot_ensemble_fixed_pool_comment,120,120,1,457.0,3.808333333333333,0.10833333333333334,2.230769230769231,0.125,0.7416666666666667
outputs\ccfa_protocol_cyberseceval_qwen05_120_5seed_strong_v2_20260708,cyberseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,59,4,aot_ensemble_fixed_pool_comment,120,120,1,460.0,3.8333333333333335,0.10833333333333334,2.4615384615384617,0.11666666666666667,0.7083333333333334
outputs\ccfa_protocol_cyberseceval_qwen05_120_5seed_strong_v2_20260708,cyberseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,7,4,classical_active_comment,120,120,1,454.0,3.783333333333333,0.125,2.2666666666666666,0.13333333333333333,0.725
outputs\ccfa_protocol_cyberseceval_qwen05_120_5seed_strong_v2_20260708,cyberseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,19,4,classical_active_comment,120,120,1,454.0,3.783333333333333,0.11666666666666667,2.142857142857143,0.125,0.7333333333333333
outputs\ccfa_protocol_cyberseceval_qwen05_120_5seed_strong_v2_20260708,cyberseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,31,4,classical_active_comment,120,120,1,450.0,3.75,0.10833333333333334,1.6923076923076923,0.11666666666666667,0.7166666666666667
outputs\ccfa_protocol_cyberseceval_qwen05_120_5seed_strong_v2_20260708,cyberseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,43,4,classical_active_comment,120,120,1,452.0,3.7666666666666666,0.125,2.1333333333333333,0.13333333333333333,0.725
outputs\ccfa_protocol_cyberseceval_qwen05_120_5seed_strong_v2_20260708,cyberseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,59,4,classical_active_comment,120,120,1,456.0,3.8,0.1,2.0,0.11666666666666667,0.725
