budget,cwe,language,main_only,baseline_only,both,neither,net_main_minus_baseline,total
4,CWE-119,c,1,1,1,2,0,5
4,CWE-120,c,0,3,5,2,-3,10
4,CWE-209,php,0,2,3,0,-2,5
4,CWE-327,php,0,1,4,0,-1,5
4,CWE-328,c,3,0,2,0,3,5
4,CWE-328,python,3,0,2,5,3,10
4,CWE-330,php,5,0,0,0,5,5
4,CWE-338,javascript,5,0,0,5,5,10
4,CWE-502,csharp,1,0,4,0,1,5
4,CWE-759,php,5,0,0,0,5,5
4,CWE-89,python,4,1,0,5,3,10
4,CWE-95,javascript,5,0,0,5,5,10
8,CWE-328,c,3,0,2,0,3,5
8,CWE-328,python,3,0,2,5,3,10
8,CWE-330,php,1,0,4,0,1,5
8,CWE-338,javascript,2,0,3,5,2,10
8,CWE-89,rust,1,0,0,4,1,5
8,CWE-95,javascript,3,0,2,5,3,10
