artifact_group,dataset,model,budget,strategy,task_rows,effective_rows,vulnerable_rows,functional_rows,effective_rate,vulnerable_nonfunctional_rate,functional_not_vulnerable_rate,neither_rate,mean_attempts,mean_attempt_to_success,first_attempt_success_rate
cyberseceval,cyberseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,4,aot_ensemble_fixed_pool_comment,600,64,71,436,0.10666666666666667,0.008333333333333333,0.6166666666666667,0.265,3.8233333333333333,2.34375,0.03333333333333333
cyberseceval,cyberseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,4,classical_active_comment,600,69,75,435,0.115,0.008333333333333333,0.6083333333333333,0.26666666666666666,3.776666666666667,2.0579710144927534,0.045
cyberseceval,cyberseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,4,classical_boundary_witness_comment,600,53,63,428,0.08833333333333333,0.008333333333333333,0.6166666666666667,0.2783333333333333,3.8433333333333333,2.2264150943396226,0.041666666666666664
cyberseceval,cyberseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,4,fair_random_comment,600,41,49,446,0.06833333333333333,0.008333333333333333,0.67,0.24833333333333332,3.861666666666667,1.975609756097561,0.03
cyberseceval,cyberseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,4,insec_fixed_pool_comment,600,45,55,425,0.075,0.008333333333333333,0.625,0.2833333333333333,3.8566666666666665,2.088888888888889,0.016666666666666666
cyberseceval,cyberseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,4,qscout_qbw_comment,600,93,99,445,0.155,0.008333333333333333,0.585,0.25,3.703333333333333,2.086021505376344,0.056666666666666664
cyberseceval,cyberseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,8,aot_ensemble_fixed_pool_comment,600,82,87,469,0.13666666666666666,0.008333333333333333,0.645,0.21,7.341666666666667,3.182926829268293,0.03333333333333333
cyberseceval,cyberseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,8,classical_active_comment,600,93,98,465,0.155,0.008333333333333333,0.62,0.21666666666666667,7.265,3.2580645161290325,0.045
cyberseceval,cyberseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,8,classical_boundary_witness_comment,600,90,95,475,0.15,0.008333333333333333,0.6416666666666667,0.2,7.376666666666667,3.8444444444444446,0.03333333333333333
cyberseceval,cyberseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,8,fair_random_comment,600,77,85,487,0.12833333333333333,0.006666666666666667,0.6766666666666666,0.18166666666666667,7.453333333333333,3.74025974025974,0.028333333333333332
cyberseceval,cyberseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,8,insec_fixed_pool_comment,600,75,80,467,0.125,0.008333333333333333,0.6533333333333333,0.21333333333333335,7.526666666666666,4.213333333333333,0.016666666666666666
cyberseceval,cyberseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,8,qscout_qbw_comment,600,106,111,479,0.17666666666666667,0.008333333333333333,0.6216666666666667,0.19333333333333333,7.033333333333333,2.5283018867924527,0.056666666666666664
main,llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,4,aot_ensemble_fixed_pool_comment,750,381,381,694,0.508,0.0,0.41733333333333333,0.07466666666666667,3.037333333333333,2.10498687664042,0.19333333333333333
