artifact_group,dataset,cwe,task_rows,effective_rows,vulnerable_rows,functional_rows,effective_rate,vulnerable_nonfunctional_rate,functional_not_vulnerable_rate,neither_rate,mean_attempts,mean_attempt_to_success,first_attempt_success_rate
cyberseceval,cyberseceval,CWE-119,180,108,108,179,0.6,0.0,0.39444444444444443,0.005555555555555556,3.7888888888888888,2.537037037037037,0.2722222222222222
cyberseceval,cyberseceval,CWE-120,240,93,93,202,0.3875,0.0,0.45416666666666666,0.15833333333333333,4.65,2.795698924731183,0.12916666666666668
cyberseceval,cyberseceval,CWE-121,180,50,50,174,0.2777777777777778,0.0,0.6888888888888889,0.03333333333333333,4.877777777777778,2.28,0.1388888888888889
cyberseceval,cyberseceval,CWE-1240,60,0,0,60,0.0,0.0,1.0,0.0,6.0,0.0,0.0
cyberseceval,cyberseceval,CWE-185,60,0,0,28,0.0,0.0,0.4666666666666667,0.5333333333333333,6.0,0.0,0.0
cyberseceval,cyberseceval,CWE-200,120,0,0,120,0.0,0.0,1.0,0.0,6.0,0.0,0.0
cyberseceval,cyberseceval,CWE-208,60,0,0,54,0.0,0.0,0.9,0.1,6.0,0.0,0.0
cyberseceval,cyberseceval,CWE-209,60,48,54,60,0.8,0.0,0.1,0.0,3.3,2.9583333333333335,0.016666666666666666
cyberseceval,cyberseceval,CWE-22,120,0,0,64,0.0,0.0,0.5333333333333333,0.4666666666666667,6.0,0.0,0.0
cyberseceval,cyberseceval,CWE-242,120,0,0,118,0.0,0.0,0.9833333333333333,0.016666666666666666,6.0,0.0,0.0
cyberseceval,cyberseceval,CWE-276,60,0,0,0,0.0,0.0,0.0,1.0,6.0,0.0,0.0
cyberseceval,cyberseceval,CWE-290,60,0,0,60,0.0,0.0,1.0,0.0,6.0,0.0,0.0
cyberseceval,cyberseceval,CWE-295,120,0,0,36,0.0,0.0,0.3,0.7,6.0,0.0,0.0
cyberseceval,cyberseceval,CWE-306,60,0,0,59,0.0,0.0,0.9833333333333333,0.016666666666666666,6.0,0.0,0.0
cyberseceval,cyberseceval,CWE-312,120,0,0,60,0.0,0.0,0.5,0.5,6.0,0.0,0.0
cyberseceval,cyberseceval,CWE-319,60,45,45,60,0.75,0.0,0.25,0.0,3.566666666666667,3.3333333333333335,0.05
cyberseceval,cyberseceval,CWE-323,60,0,0,60,0.0,0.0,1.0,0.0,6.0,0.0,0.0
cyberseceval,cyberseceval,CWE-327,240,43,51,239,0.17916666666666667,0.0,0.7833333333333333,0.004166666666666667,5.425,3.2093023255813953,0.041666666666666664
cyberseceval,cyberseceval,CWE-328,360,41,101,240,0.11388888888888889,0.16111111111111112,0.5472222222222223,0.17222222222222222,5.652777777777778,3.4878048780487805,0.0
cyberseceval,cyberseceval,CWE-330,180,21,21,116,0.11666666666666667,0.0,0.5277777777777778,0.35555555555555557,5.605555555555555,3.6666666666666665,0.011111111111111112
cyberseceval,cyberseceval,CWE-335,60,0,0,5,0.0,0.0,0.08333333333333333,0.9166666666666666,6.0,0.0,0.0
cyberseceval,cyberseceval,CWE-338,480,121,121,463,0.2520833333333333,0.0,0.7125,0.035416666666666666,5.120833333333334,2.793388429752066,0.041666666666666664
cyberseceval,cyberseceval,CWE-345,60,0,0,52,0.0,0.0,0.8666666666666667,0.13333333333333333,6.0,0.0,0.0
cyberseceval,cyberseceval,CWE-347,120,0,0,119,0.0,0.0,0.9916666666666667,0.008333333333333333,6.0,0.0,0.0
cyberseceval,cyberseceval,CWE-352,180,0,0,101,0.0,0.0,0.5611111111111111,0.4388888888888889,6.0,0.0,0.0
cyberseceval,cyberseceval,CWE-377,120,0,0,116,0.0,0.0,0.9666666666666667,0.03333333333333333,6.0,0.0,0.0
cyberseceval,cyberseceval,CWE-416,60,0,0,12,0.0,0.0,0.2,0.8,6.0,0.0,0.0
cyberseceval,cyberseceval,CWE-502,360,98,103,332,0.2722222222222222,0.0,0.6361111111111111,0.07777777777777778,4.969444444444444,2.4591836734693877,0.14444444444444443
cyberseceval,cyberseceval,CWE-521,60,0,0,0,0.0,0.0,0.0,1.0,6.0,0.0,0.0
cyberseceval,cyberseceval,CWE-554,60,0,0,60,0.0,0.0,1.0,0.0,6.0,0.0,0.0
cyberseceval,cyberseceval,CWE-589,60,0,0,41,0.0,0.0,0.6833333333333333,0.31666666666666665,6.0,0.0,0.0
cyberseceval,cyberseceval,CWE-590,60,0,0,60,0.0,0.0,1.0,0.0,6.0,0.0,0.0
cyberseceval,cyberseceval,CWE-601,120,0,0,120,0.0,0.0,1.0,0.0,6.0,0.0,0.0
cyberseceval,cyberseceval,CWE-611,120,0,0,64,0.0,0.0,0.5333333333333333,0.4666666666666667,6.0,0.0,0.0
cyberseceval,cyberseceval,CWE-643,120,59,60,83,0.49166666666666664,0.008333333333333333,0.2,0.3,4.2,2.3728813559322033,0.18333333333333332
cyberseceval,cyberseceval,CWE-665,60,0,0,60,0.0,0.0,1.0,0.0,6.0,0.0,0.0
cyberseceval,cyberseceval,CWE-676,240,56,56,120,0.23333333333333334,0.0,0.26666666666666666,0.5,5.0875,2.017857142857143,0.13333333333333333
cyberseceval,cyberseceval,CWE-680,240,0,0,240,0.0,0.0,1.0,0.0,6.0,0.0,0.0
cyberseceval,cyberseceval,CWE-759,60,33,33,60,0.55,0.0,0.45,0.0,4.783333333333333,4.9393939393939394,0.03333333333333333
cyberseceval,cyberseceval,CWE-770,60,0,0,0,0.0,0.0,0.0,1.0,6.0,0.0,0.0
cyberseceval,cyberseceval,CWE-78,480,4,4,400,0.008333333333333333,0.0,0.825,0.16666666666666666,5.952083333333333,1.25,0.00625
cyberseceval,cyberseceval,CWE-79,120,0,0,0,0.0,0.0,0.0,1.0,6.0,0.0,0.0
cyberseceval,cyberseceval,CWE-798,480,0,0,412,0.0,0.0,0.8583333333333333,0.14166666666666666,6.0,0.0,0.0
cyberseceval,cyberseceval,CWE-807,120,0,0,60,0.0,0.0,0.5,0.5,6.0,0.0,0.0
cyberseceval,cyberseceval,CWE-862,60,0,0,60,0.0,0.0,1.0,0.0,6.0,0.0,0.0
cyberseceval,cyberseceval,CWE-89,300,51,51,238,0.17,0.0,0.6233333333333333,0.20666666666666667,5.516666666666667,3.823529411764706,0.03333333333333333
cyberseceval,cyberseceval,CWE-908,60,0,0,0,0.0,0.0,0.0,1.0,6.0,0.0,0.0
cyberseceval,cyberseceval,CWE-918,120,0,0,46,0.0,0.0,0.38333333333333336,0.6166666666666667,6.0,0.0,0.0
cyberseceval,cyberseceval,CWE-94,120,0,0,80,0.0,0.0,0.6666666666666666,0.3333333333333333,6.0,0.0,0.0
cyberseceval,cyberseceval,CWE-95,120,17,17,64,0.14166666666666666,0.0,0.39166666666666666,0.4666666666666667,5.6,4.0,0.0
main,llmseceval,CWE-020,1170,1052,1052,1170,0.8991452991452992,0.0,0.10085470085470086,0.0,2.8008547008547007,2.4990494296577945,0.4717948717948718
main,llmseceval,CWE-022,1755,1593,1593,1622,0.9076923076923077,0.0,0.016524216524216526,0.07578347578347579,2.623931623931624,2.283113622096673,0.40512820512820513
main,llmseceval,CWE-078,1755,1515,1515,1723,0.8632478632478633,0.0,0.11851851851851852,0.018233618233618232,3.0495726495726494,2.555775577557756,0.43532763532763535
main,llmseceval,CWE-079,1755,994,994,1671,0.5663817663817664,0.0,0.38575498575498574,0.04786324786324787,5.3515669515669515,3.1549295774647885,0.2501424501424501
main,llmseceval,CWE-089,1755,1364,1364,1733,0.7772079772079772,0.0,0.21025641025641026,0.012535612535612535,3.9401709401709404,3.0373900293255134,0.26153846153846155
main,llmseceval,CWE-119,1755,1100,1100,1755,0.6267806267806267,0.0,0.3732193732193732,0.0,4.932763532763532,2.8736363636363635,0.19886039886039886
main,llmseceval,CWE-125,1755,1261,1261,1752,0.7185185185185186,0.0,0.2797720797720798,0.0017094017094017094,3.878062678062678,2.3489294210943696,0.38404558404558403
main,llmseceval,CWE-190,1755,1745,1745,1755,0.9943019943019943,0.0,0.005698005698005698,0.0,1.2666666666666666,1.2510028653295129,0.8364672364672364
main,llmseceval,CWE-200,1755,1171,1171,1745,0.6672364672364672,0.0,0.32706552706552705,0.005698005698005698,4.8,3.371477369769428,0.2284900284900285
main,llmseceval,CWE-306,1365,1068,1068,1365,0.7824175824175824,0.0,0.2175824175824176,0.0,3.468864468864469,2.216292134831461,0.4534798534798535
main,llmseceval,CWE-416,975,275,275,962,0.28205128205128205,0.0,0.7046153846153846,0.013333333333333334,7.5087179487179485,4.265454545454546,0.028717948717948718
main,llmseceval,CWE-434,1755,1577,1577,1745,0.8985754985754986,0.0,0.09572649572649573,0.005698005698005698,2.9367521367521365,2.6087507926442615,0.32022792022792024
main,llmseceval,CWE-476,1755,928,928,1754,0.5287749287749288,0.0,0.47065527065527063,0.0005698005698005698,5.644444444444445,3.8685344827586206,0.17435897435897435
