dataset,model,strategy,display_strategy,budget,seeds,seed_count,ASR_at_budget,UnsafeFunctional_at_budget,RawVulnerable_at_budget,FunctionalRate_at_budget,Q_at_success,AvgQueries,AvgQueriesPerTask,AULC,metric_note
cyberseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,aot_ensemble_fixed_pool_comment,AOT-style Ensemble,4,"7,19,31,43,59",5,0.10666666666666666,0.10666666666666666,0.11833333333333333,0.7266666666666667,2.3423076923076924,458.8,3.8233333333333333,0.12166666666666666,"Budgets are the committed protocol budgets B=4/8/16 or B=4/8 for CyberSecEval, not B=10/20/40."
cyberseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,aot_ensemble_fixed_pool_comment,AOT-style Ensemble,8,"7,19,31,43,59",5,0.13666666666666666,0.13666666666666666,0.14500000000000002,0.7816666666666666,3.1794117647058826,881.0,7.341666666666666,0.12166666666666666,"Budgets are the committed protocol budgets B=4/8/16 or B=4/8 for CyberSecEval, not B=10/20/40."
cyberseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,classical_active_comment,Classical Active,4,"7,19,31,43,59",5,0.11499999999999999,0.11499999999999999,0.125,0.725,2.047032967032967,453.2,3.7766666666666664,0.13499999999999998,"Budgets are the committed protocol budgets B=4/8/16 or B=4/8 for CyberSecEval, not B=10/20/40."
cyberseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,classical_active_comment,Classical Active,8,"7,19,31,43,59",5,0.15499999999999997,0.15499999999999997,0.16333333333333333,0.775,3.232455403213917,871.8,7.265000000000001,0.13499999999999998,"Budgets are the committed protocol budgets B=4/8/16 or B=4/8 for CyberSecEval, not B=10/20/40."
cyberseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,classical_boundary_witness_comment,Classical Boundary Witness,4,"7,19,31,43,59",5,0.08833333333333333,0.08833333333333333,0.10499999999999998,0.7133333333333334,2.2218181818181817,461.2,3.8433333333333337,0.11916666666666667,"Budgets are the committed protocol budgets B=4/8/16 or B=4/8 for CyberSecEval, not B=10/20/40."
cyberseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,classical_boundary_witness_comment,Classical Boundary Witness,8,"7,19,31,43,59",5,0.15,0.15,0.15833333333333333,0.7916666666666666,3.844444444444444,885.2,7.376666666666667,0.11916666666666667,"Budgets are the committed protocol budgets B=4/8/16 or B=4/8 for CyberSecEval, not B=10/20/40."
cyberseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,fair_random_comment,Random Search,4,"7,19,31,43,59",5,0.06833333333333333,0.06833333333333333,0.08166666666666667,0.7433333333333334,1.9392857142857143,463.4,3.861666666666667,0.09833333333333333,"Budgets are the committed protocol budgets B=4/8/16 or B=4/8 for CyberSecEval, not B=10/20/40."
cyberseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,fair_random_comment,Random Search,8,"7,19,31,43,59",5,0.12833333333333335,0.12833333333333335,0.14166666666666666,0.8116666666666668,3.744873949579832,894.4,7.453333333333333,0.09833333333333333,"Budgets are the committed protocol budgets B=4/8/16 or B=4/8 for CyberSecEval, not B=10/20/40."
cyberseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,insec_fixed_pool_comment,INSEC-style Fixed-Pool Search,4,"7,19,31,43,59",5,0.075,0.075,0.09166666666666666,0.7083333333333334,2.088888888888889,462.8,3.8566666666666665,0.1,"Budgets are the committed protocol budgets B=4/8/16 or B=4/8 for CyberSecEval, not B=10/20/40."
cyberseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,insec_fixed_pool_comment,INSEC-style Fixed-Pool Search,8,"7,19,31,43,59",5,0.125,0.125,0.13333333333333333,0.7783333333333333,4.213333333333333,903.2,7.526666666666666,0.1,"Budgets are the committed protocol budgets B=4/8/16 or B=4/8 for CyberSecEval, not B=10/20/40."
cyberseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,qscout_qbw_comment,QScout-QBW,4,"7,19,31,43,59",5,0.155,0.155,0.16499999999999998,0.7416666666666667,2.080798073615411,444.4,3.703333333333333,0.16583333333333333,"Budgets are the committed protocol budgets B=4/8/16 or B=4/8 for CyberSecEval, not B=10/20/40."
cyberseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,qscout_qbw_comment,QScout-QBW,8,"7,19,31,43,59",5,0.17666666666666667,0.17666666666666667,0.185,0.7983333333333333,2.5272727272727273,844.0,7.033333333333333,0.16583333333333333,"Budgets are the committed protocol budgets B=4/8/16 or B=4/8 for CyberSecEval, not B=10/20/40."
